food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Crisps, Potatoes",Purchased Deep-Fried Foods;White Roots And Tubers,Others,Others,Tubers And Potatoes,Deep-Fried Foods,No Species Assignment,1,0,547,0,6.6,37.7,49.7,0,0,19,0.8,34,93,732,216,0.4,0,0,0,0,0,0.1,0,1.4,0,9,0,13
"Ice cream, chocolate flavour, regular fat",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,946,226,56.4,4.4,12,24.2,2,1,130,0.9,30,110,245,71,0.6,2,145,147,143,23,0,0.19,0.2,16,16,0.25,0.7
"Ice cream, strawberry flavour, regular fat",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,842,201,60.7,3.5,9.5,25.2,0.5,0.7,107,0.2,13,92,165,54,0.29,2,139,155,123,190,0.02,0.27,0.4,11,11,0.2,0
"Ice cream, vanilla flavour, regular fat",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,834,199,62.7,3.9,10.6,22.2,0,0.7,117,0.2,12,84,142,64,0.23,1,166,182,150,190,0,0.25,0.7,10,10,0.1,0
"Ice cream, vanilla flavour, with nuts, regular fat",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,917,219,59.6,4,12.2,23.3,0.2,0.7,92,0.2,15,91,157,47,0.3,1,162,177,146,186,0,0.29,0.7,11,11,0.1,0
Ice Pop (Popsicle),Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,79,0,0,0.2,19,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
KDF Mandazi,Refined Grains And Baked Goods,Others,Others,No PHDI Assignment,Baked/Grain-Based Sweets,No Species Assignment,1,1430,340,28.2,6.4,12.9,48.7,2.1,1.7,136,3.5,19,331,350,241,0.52,0,48,48,48,1,0.46,0.29,3,230,17,0.4,0
"Lollipop, big",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,394,1.3,0,0.2,98,0,0,3,0.3,3,3,5,38,0.01,0,0,0,0,0,0.004,0.003,0.007,0,0,0,0
"Lollipop, small",Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,394,1.3,0,0.2,98,0,0,3,0.3,3,3,5,38,0.01,0,0,0,0,0,0.004,0.003,0.007,0,0,0,0
Muffin,Refined Grains And Baked Goods,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,1136,270,41.5,8.3,8.5,39.2,1.7,0.8,77,2.9,22,163,138,37,0.83,4,77,78,76,8,0.4,0.4,2.5,203,24,0.77,0
Numbers/Letters,Refined Grains And Baked Goods,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,5.4,0,0.1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Popcorn,Whole Grains,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,498,0,8.96,27.99,57.87,10,0,10,2.77,108,249,224,157,2.63,7.3,8,0,0,70,0.129,0.139,1.544,0,17,0,0.3
Queen Cake,Refined Grains And Baked Goods,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,1136,270,41.5,8.3,8.5,39.2,1.7,0.8,77,2.9,22,163,138,37,0.83,4,77,78,76,8,0.4,0.4,2.5,203,24,0.77,0
Ringos,Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,5.4,0,0.1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Royco, mchuzi mix (Beef flavour)",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,0,2.8,0,0,0.1,0.6,0,0,0,0,0,0,0,119.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Royco, mchuzi mix (Chicken flavour)",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,0,2.8,0,0,0.1,0.6,0,0,0,0,0,0,0,119.4,0,0,0,0,0,0,0,0,0,0,0,0,0
