food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Date, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Date,0.86,645,152,60.2,1.6,0.1,35.3,1.8,1,34,0.3,24,28,410,7,0.2,1,2,3,0,20,0.06,0.07,0.7,25,25,0,22
"Doumpalm fruit, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Doum palm,0.28,1180,280,17.6,2.8,0.7,58.3,14.8,5.9,73,18,53,45,862,0.47,3.4,0,0,0,0,0,0.05,0.1,0,0,0,0,0
"Grapes, green, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Grape,0.95,302,71,80.7,0.6,0.1,16,2,0.6,14,0.3,7.1,24,171,3,0.1,0,2,5,0,29,0.03,0.03,0.2,4,4,0,14
"Guava (mapera), pink-fleshed, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Guava,1,196,48,80.7,1.1,1.1,0.9,15.5,0.8,20,0.4,18,31,334,1,0.26,0,22,45,0,267,0.06,0.05,0.6,16,16,0,222
"Jackfruit (fenesi), fruit, yellow-fleshed, peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Jackfruit,0.23,403,95,73.2,1.4,0.2,20.5,2.8,1.9,35,0,32,23,279,2,0.76,0,7,15,0,90,0.07,0.13,0.7,19,19,0,7
"Lemon (ndimu) peel, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lemon,1,213,52,81.6,1.5,0.3,5.4,10.6,0.6,134,0.8,15,12,160,6,0.25,1,3,5,0,30,0.06,0.08,0.4,13,13,0,129
"Lemon (ndimu), juice, home squeezed",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lemon,1,198,47,87,0.6,0.2,9.5,2.5,0.25,20,0.3,12,10,120,2,0,0,1,2,0,10,0.02,0.01,0.2,11,11,0,44
"Lemon (ndimu), pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lemon,0.66,155,37,89.5,0.82,0.2,6.7,2.5,0.3,33,0.3,15,16,120,2,0.1,0,1,2,0,10,0.03,0.02,0.2,11,11,0,44
"Lemon, juice, home squeezed",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lemon,1,198,47,87,0.6,0.2,9.5,2.5,0.25,20,0.3,12,10,120,2,0,0,1,2,0,10,0.02,0.01,0.2,11,11,0,44
"Lemon, pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lemon,0.66,155,37,89.5,0.82,0.2,6.7,2.5,0.3,33,0.3,15,16,120,2,0.1,0,1,2,0,10,0.03,0.02,0.2,11,11,0,44
"Lime (limau), juice",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lime,1,125,30,90.3,0.7,0.2,4.3,4.1,0.4,26,0.3,11,20,150,3,0,0,2,5,0,28,0.03,0.02,0.2,6,6,0,41
"Lime (limau), pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lime,0.7,178,42,87.1,0.7,0.2,7.4,4.1,0.6,22,0,11,20,150,3,0.1,0,3,5,0,31,0.02,0.03,0.2,8,8,0,55
"Lime, juice",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lime,1,125,30,90.3,0.7,0.2,4.3,4.1,0.4,26,0.3,11,20,150,3,0,0,2,5,0,28,0.03,0.02,0.2,6,6,0,41
"Lime, pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Lime,0.7,178,42,87.1,0.7,0.2,7.4,4.1,0.6,22,0,11,20,150,3,0.1,0,3,5,0,31,0.02,0.03,0.2,8,8,0,55
"Loquat, peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Loquat,0.75,214,51,84.6,0.62,0.2,9.5,4.51,0.7,13,0.5,13,20,180,2,0.22,0,45,89,0,537,0.02,0.04,0.3,14,14,0,4.1
"Mango (Embe) Juice, Fresh",Juice,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Mango,1,0,54,0,0.7,0.1,22.6,0,0,4,0,4,5,66,1,0,0,168,0,0,0,0,0,0.3,6,0,0,15
"Mango (embe), juice, fresh",Juice,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Mango,0.35,192,45,86.7,0.8,0.1,8.9,3,0.6,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,26,26,0,88
"Mango (embe), ripe, raw",Deep Orange Fruits,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Fruits,Vitamin A-Rich Fruits,Mango,0.72,272,64,83,0.6,0.3,14,1.6,0.5,14,0.2,9,17,186,1,0.14,1,92,184,0,1105,0.03,0.04,0.6,54,54,0,35
"Mango (embe), unripe, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Mango,0.72,192,45,86.7,0.8,0.1,8.9,3,0.6,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,26,26,0,88
"Melon Juice, Fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Melon,1,0,111.8,0,0.6,5,15.9,0,0,18,0.4,12.6,13.6,194.5,4.5,0.2,0,83.1,0,0,0,0.2,0,0.4,4.5,0,0,22.4
"Melon, juice, fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Melon,0.35,111.8,0,0,1.3,0.9,16.2,1.1,0,18,0.4,24.7,20.2,260.4,4.5,0.2,0,83.1,0,0,0,2,0,0.4,0.3,4.5,0,22.4
"Mulberry (onunga), raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Mulberry,0.99,148,35,89.5,1.6,0.2,5.6,2.2,0.9,55,1.2,19,40,310,6,0.2,1,1,2,0,10,0.03,0.07,0.7,33,33,0,11
"Orange (chungwa), Juice",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Orange,1,77,18,94.6,0.4,0.1,3.6,1.1,0.4,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,64
"Orange (chungwa), juice, commercial",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,0.3,77,18,94.6,0.4,0.1,3.6,1.1,0.4,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,64
"Orange (chungwa), juice, fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Orange,1,77,18,94.6,0.4,0.1,3.6,1.1,0.4,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,64
"Orange (chungwa), pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Citrus Fruits,Orange,0.75,176,42,87.6,0.9,0.2,7.5,3.1,0.7,23,0.2,10,13,165,5,0.05,0,5,9,0,57,0.04,0.03,0.2,52,52,0,45
"Papaya (paw paw), yellow skin, peeled, raw",Deep Orange Fruits,Vitamin A-Rich Fruits And Vegetables,Vitamin A-Rich Fruits And Vegetables,Fruits,Vitamin A-Rich Fruits,Papaya,0.76,153,36,89.8,0.6,0.3,6.8,2.1,0.5,21,0.6,28,17,140,4,0.2,0,85,170,0,1018,0.04,0.03,0.3,37,37,0,51
"Passion fruit, dark purple skin, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Passion fruit,0.52,313,75,75.7,2.4,0.9,8.7,11.7,0.8,10,0.6,28,68,200,19,0.8,1,64,127,0,764,0.03,0.14,2.5,7,7,0,29
"Passion Fruit, juice",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Passion fruit,1,408,96,75.5,0.8,0.1,22.9,0.2,0.5,13,0.4,21,20,252,10,0.3,0,45,90,0,538,0.07,0.01,1.5,8,8,0,23
"Passion fruit, yellow, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Passion fruit,0.52,313,75,75.7,2.4,0.9,8.7,11.7,0.8,10,0.6,28,68,200,19,0.8,1,64,127,0,764,0.03,0.14,2.5,7,7,0,29
"Peach (mapera), yellow-fleshed, unpeeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Peach,0.88,204,48,86.7,1,0.1,9.9,1.9,0.4,5,0.3,8,20,203,2,0.11,1,13,26,0,157,0.01,0.03,0.8,0,4,0,8
"Peach, yellow-fleshed, unpeeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Peach,0.88,204,48,86.7,1,0.1,9.9,1.9,0.4,5,0.3,8,20,203,2,0.11,1,13,26,0,157,0.01,0.03,0.8,0,4,0,8
"Pear, unpeeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Pear,0.85,200,48,86,0.4,0.2,9.1,4,0.3,8,0.3,7,11,96,1,0.08,0,1,2,0,14,0.03,0.03,0.1,7,7,0,4
"Pineapple (nanasi) Juice, Fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Pineapple,1,0,49,0,0.4,0.4,12.4,1.2,0,7,0,14,7,113,1,0.1,0,2,0,0,0,0.1,0,0.4,11,0,0,15
"Pineapple (nanasi), canned in syrup, whole contents",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Pineapple,1,393,93,77,0.3,0.6,21.2,0.7,0.2,4,0.4,11,3,80,6,0,1,1,1,0,8,0.05,0,0,5,5,0,9
"Pineapple (nanasi), juice, commercial",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,0.1,172,41,88.6,0.48,0.2,8.1,2.3,0.3,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4
"Pineapple (nanasi), juice, fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Pineapple,0.3,172,41,88.6,0.48,0.2,8.1,2.3,0.3,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4
"Pineapple (nanasi), raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Pineapple,0.68,172,41,88.6,0.48,0.2,8.1,2.3,0.3,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4
"Plum, purple skin, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Plum,0.93,200,47,86.9,0.7,0.1,9.9,2,0.4,10,0.4,7,12,158,1,0.1,0,6,12,0,74,0.04,0.06,0.5,1,6,0,4
"Pomegranate, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Pomegranate,0.57,312,74,78.1,1.6,0.2,13.3,6.4,0.4,12,0.8,9,37,172,4,0.4,1,4,9,0,53,0.06,0.06,0.4,38,38,0,15
"Raspberry, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Raspberry,1,228,54,83.2,1.4,0.2,8.9,5.6,0.7,27,0.8,25,37,156,1,0.32,1,3,5,0,30,0.04,0.03,0.3,34,34,0,30
"Strawberry, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Strawberry,0.96,146,35,90,0.7,0.2,6.3,2.5,0.4,19,0.6,8,27,158,3,0.18,1,0,0,0,1,0.03,0.02,0.1,39,39,0,49
"Sweet melon, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Melon,1,0,36,0,0.54,0.14,9.09,0.8,0,6,0.17,10,11,228,18,0.09,0.7,3,0,0,30,0.038,0.012,0.418,0,19,0,18
"Tamarind, fruit, dry, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Tamarind,1,1260,298,21.3,5,0.6,65.4,5.3,2.4,166,9,83,190,836,25,1,2,0,0,0,1.54,60,0.18,2,10,10,0,0.6
"Tamarind, fruit, fresh, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Tamarind,1,1260,298,20.8,2,0.2,69.5,5.3,2.2,105,9.2,83,105,836,25,0.58,2,0,0,0,1.54,0.34,0.07,1.6,10,10,0,3.6
"Tangerine (sandara), juice, fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Tangerine,1,195,46,88.3,0.6,0.2,10.3,0.2,0.4,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37
"Tangerine (sandara), pulp, raw",Citrus Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Citrus Fruits,Tangerine,0.75,218,52,86.2,0.87,0.2,10.8,1.5,0.4,26,0,17,17,150,2,0.1,1,1,2,0,10,0.08,0.05,0.3,24,24,0,36
"Thorn melon, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Kiwano,1,0,33,89,1.79,0.642,7.56,4.1,0,15.3,0.71,26.4,45.66,230.3,3.3,0.29,0,0.007,0,0,0,0.025,0.015,0.565,0.003,0,0,2.13
"Thorny melon, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Kiwano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tree tomato, dark red skin, peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Tree tomato,0.4,177,43,85.6,2.1,0.3,4.6,6.5,0.9,56,1,19,51,133,20,0.4,0,45,91,0,546,0.13,0.1,1.6,63,63,0,12.6
"Watermelon, fruit, green with white stripes, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Watermelon,0.64,112,26,92.9,0.6,0.3,5,0.93,0.3,4,0.7,10,20,88,2,0.21,0,21,41,0,246,0.03,0.04,0.26,16,16,0,11.5
"Watermelon, juice, fresh",Juice,Other Fruits,Other Fruits And Vegetables,Fruits,Sodas/Sugar-Sweetened Beverages,Watermelon,0.35,111.8,0,0,1.3,0.9,16.2,1.1,0,18,0.4,24.7,20.2,260.4,4.5,0.2,0,83.1,0,0,0,2,0,0.4,0.3,4.5,0,22.4
"White Sapote, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,White sapote,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zambarau, peeled, raw",Other Fruits,Other Fruits,Other Fruits And Vegetables,Fruits,Other Fruits,Java plum,0.62,252,59,85.3,0.52,0.4,13.5,0,0.4,44,0.5,17,17,72,11,0.42,1,0,0,0,0,0,0,0,0,0,0,0
Peas and Brinjal Curry,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Pea;Eggplant,1,544,131,72.5,4.2,8.5,6.6,5.8,2.4,38,2.1,30,71,253,520,1.96,2,29,58,0,348,0.13,0.09,1.1,56,56,0,16.8
Bean Stew with Milk and Cream,Legumes,"Pulses (Beans, Peas And Lentils);Milk And Dairy Products",Legumes And Nuts;Milk And Dairy Products,Legumes,Legumes,Bean;Cow,1,584,139,65.2,7.2,4.5,14.3,6.7,2.2,66,1.9,34,197,259,273,0.96,2,25,32,19,77,0.08,0.11,0.6,47,47,0.12,4.4
"Bean, red, fresh, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Bean,0.38,553,131,61.6,12.8,0.4,14.6,9.1,1.5,12,2.4,18,100,490,3,1,2,2,3,0,20,0.18,0.11,2,130,130,0,27
"Beans, broad, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Broad bean,1,1280,305,10.9,25.7,1.53,35.6,22.9,3.29,96,5.19,135,431,1190,25,3.55,8,2,5,0,29,0.56,0.33,2.41,250,250,0,1.4
"Beans, broad, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Broad bean,1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
"Beans, broad, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Broad bean,1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0
"Beans, broad, fresh, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Broad bean,1,363,87,73.9,7.5,0.5,9.2,7.5,1.3,26,1.3,18,405,145,2,0.83,8,15,31,0,184,0.08,0.09,1.4,149,149,0,28
"Beans, broad, fresh, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Broad bean,1,345,82,75,7.2,0.5,8.7,7.1,1.3,26,1.6,29,427,275,2,1.1,8,16,32,0,195,0.12,0.14,2,284,284,0,41
"Beans, cluster, fresh, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cluster bean,1,244,58,82,6.5,0.4,4.6,5.1,1.4,121,4.4,46,47,158,3,0.48,2,19,38,0,228,0.06,0.02,0.5,22,22,0,34
"Beans, cluster, fresh, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cluster bean,0.86,232,55,82.9,6.19,0.4,4.4,4.8,1.4,121,5.6,73,50,301,4,0.61,2,20,40,0,241,0.09,0.03,0.7,41,41,0,49
"Beans, kidney (maharagwe), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Kidney bean,1,1280,305,12.1,20.5,2,40.6,21.2,3.6,106,6.4,103,600,872,22,2.78,4,1,1,0,6,0.35,0.18,2.4,272,272,0,0.3
"Beans, kidney, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Kidney bean,1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
"Beans, kidney, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Kidney bean,1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0
"Beans, lima, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lima bean,1,1260,299,13.6,22.4,1.63,39.7,18.2,4.5,64,9.9,158,387,1447,7,2.6,6,0,0,0,0,0.53,0.16,1.5,381,381,0,1
"Beans, lima, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lima bean,1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
"Beans, lima, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lima bean,1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0
"Beans, shellie, canned, solid & liquids",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Shellie bean,1,112,27,90.7,1.8,0.2,2.8,3.4,1.2,29,1,15,30,109,334,0.27,2,11,23,0,137,0.03,0.05,0.21,18,18,0,3.1
Black Bean Stew,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Black bean,1,261,62,83.6,3.6,1.3,7.7,2.8,1.1,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
"Black beans (njahe), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Black bean,1,261,62,83.6,3.6,1.3,7.7,2.8,1.1,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
"Black beans (njahi), whole, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Black bean,1,261,62,83.6,3.6,1.3,7.7,2.8,1.1,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
"Black beans (njahi), whole, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Black bean,1,261,62,83.6,3.6,1.3,7.7,2.8,1.1,17,1.2,26,55,175,164,0.42,2,3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
"Black grams (ndengu), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,1330,316,11.4,24.6,1.7,42.5,16.3,3.51,84,6,113,335,718,14,2.33,43,12,23,0,140,0.31,0.11,1.8,346,346,0,3
"Black Grams (ndengu), dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,433,103,71.2,8,0.6,13.8,5.3,1.2,25,1.6,32,98,175,5,0.68,14,4,8,0,46,0.07,0.03,0.4,56,56,0,1
"Black Grams (ndengu), dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,433,103,71.2,8,0.6,13.8,5.3,1.2,25,1.6,32,98,175,5,0.68,14,4,8,0,46,0.07,0.03,0.4,56,56,0,1
"Bonavist, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Hyacinth bean,1,1350,319,10.3,23.1,1.4,45.3,16.4,3.4,59,7.13,145,334,1000,18,2.49,8,0,1,0,5,0.59,0.17,2.86,23,23,0,0
"Bonavist, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Hyacinth bean,1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
"Bonavist, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Hyacinth bean,1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0
"Bonavist, fresh, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Hyacinth bean,1,521,124,63.3,5.8,0.6,18.8,10,1.5,31,2.5,380,118,762,6,1.12,5,43,86,0,519,0.54,0.14,0.52,188,188,0,0
"Chick peas, whole, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Chickpea,1,1350,323,9.9,22.3,5.1,34.3,25.2,3.1,235,6.8,160,284,1030,25,3.37,41,15,29,0,175,0.48,0.16,2.1,400,400,0,8
"Chick peas, whole, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Chickpea,1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
"Chick peas, whole, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Chickpea,1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2
"Cowpea (kunde)s (kunde), dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cowpea,1,495,117,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0
"Cowpea (kunde)s (kunde), dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cowpea,1,495,117,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0
"Cowpea (kunde)s (kunde), fresh, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cowpea,1,554,132,61.8,4.8,0.6,22.6,8.4,1.8,200,1.4,51,80,361,5,1.27,3,62,31,0,0,0.1,0.07,1.6,141,141,0,3
"Cowpeas (kunde), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cowpea,1,1320,313,12.4,25.3,1.1,43.3,14.3,3.6,112,5.97,322,276,1380,22,3.37,0,2,3,0,19,0.9,0.15,2.4,439,439,0,1.5
"Cowpeas (kunde), fresh, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Cowpea,1,526,125,63.8,4.6,0.6,21.5,8,1.7,200,1.7,81,84,685,6,1.61,4,65,130,0,0,0.14,0.1,2.3,267,267,0,4
"Flour, soya, full fat",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,1830,437,7,37,20.2,22,9.41,4.37,200,6.25,421,484,2470,12.7,3.84,7,6,12,0,71,0.8,0.3,4.2,338,338,0,0
"Flour, soya, low fat",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,1510,361,7,45,8.68,17.8,15.6,5.9,240,9.1,278,658,2040,9,4,57,2,4,0,23,0.8,0.4,2.9,282,282,0,0
"Gram, Flour",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Chickpea,1,1490,353,9.6,22.7,5.4,48.5,10.1,3.75,58,5.2,62,170,297,2,1.5,4,3,5,0,32,0.45,0.17,1.9,193,193,0,0
Green Gram Stew,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,454,109,74.4,6.3,4.2,9.3,4,1.7,33,1.6,43,61,184,243,0.57,5,4,8,0,46,0.08,0.04,0.4,71,71,0,2.1
